datasetSource,strategyMode,profileId,strategyFamily,symbol,session,direction,signalTimestamp,entryTimestamp,exitTimestamp,signalTimeframe,executionTimeframe,entryMode,entryReason,exitReason,entryPrice,stopPrice,takeProfitPrice,spreadPips,riskPct,realizedR,finalR30m,maxAdverseR30m,maxFavorableR30m,finalR60m,maxAdverseR60m,maxFavorableR60m,hitProfitBeforeStop30m,hitProfitBeforeStop60m,actualDirection30m,actualMovePips30m,actualMovePips60m,executed,sourceQuality,signalOpen,signalHigh,signalLow,signalClose,ema8,ema20,ema50,atr,atrPct,rsi14,body,range,labelDecision,labelSignalQuality,labelConfidence,labelExpectedR,labelReason,labelWarnings,rootCause
research_backtest,intraday_lab,intraday_15012_5bcdee846128,momentum_continuation,AUDCAD,asian,BUY,2026-02-04T05:15:00.000Z,2026-02-05T18:25:00.000Z,2026-02-05T18:50:00.000Z,M15,M5,next_open,next_lower_tf_open,stop_loss_or_trailing_stop,0.95296,0.95196,0.95796,3.056,0.03,-1.3256,-0.99,-1.16,0.01,-1.38,-1.47,0.01,false,false,SELL,-9.9,-13.8,true,research_simulated,0.95794,0.9589,0.95791,0.95888,0.95804,0.95785,0.95742,0.00068,0.000714,64.64,0.00094,0.00099,BLOCK_TRADE,BAD,0.82,0.01,trade_never_proved_itself_and_lost_heavily,,entry_failure
research_backtest,intraday_lab,intraday_15012_5bcdee846128,momentum_continuation,USDJPY,off_session,BUY,2026-02-05T20:30:00.000Z,2026-02-05T20:35:00.000Z,2026-02-05T21:05:00.000Z,M15,M5,next_open,next_lower_tf_open,stop_loss_or_trailing_stop,157.06,156.96,157.56,1.922,0.03,-1.2122,-1.53,-1.59,0.3,-0.36,-1.87,0.3,false,false,SELL,-15.3,-3.6,true,research_simulated,156.903,157.028,156.891,157.028,156.91721,156.88917,156.90199,0.09731,0.00062,60.85,0.125,0.137,BLOCK_TRADE,BAD,0.82,0.3,trade_never_proved_itself_and_lost_heavily,,entry_failure
research_backtest,intraday_lab,intraday_15012_5bcdee846128,momentum_continuation,EURJPY,off_session,BUY,2026-02-05T22:00:00.000Z,2026-02-05T22:05:00.000Z,2026-02-05T22:10:00.000Z,M15,M5,next_open,next_lower_tf_open,stop_loss_or_trailing_stop,184.723,184.843,185.223,2.94,0.03,0.886,1.9083,-0.0917,2.3667,1.7583,-0.0917,2.3667,true,true,BUY,22.9,21.1,true,research_simulated,184.723,184.922,184.712,184.916,184.97423,185.00858,185.05533,0.10929,0.000591,41.11,0.193,0.21,ALLOW_TRADE,EXCELLENT,0.84,2.367,signal_delivered_strong_follow_through,,worked_or_neutral
research_backtest,intraday_lab,intraday_15012_5bcdee846128,momentum_continuation,USDCAD,off_session,BUY,2026-02-05T22:15:00.000Z,2026-02-05T22:20:00.000Z,2026-02-05T23:05:00.000Z,M15,M5,next_open,next_lower_tf_open,stop_loss_or_trailing_stop,1.3711,1.3723,1.3761,2.522,0.03,0.9278,0.1417,-0.1917,0.2167,0.2417,-0.1917,1.0583,,true,NEUTRAL,1.7,2.9,true,research_simulated,1.36953,1.37075,1.3695,1.37074,1.36989,1.36901,1.36836,0.00085,0.000623,63.81,0.00121,0.00125,ALLOW_TRADE,EXCELLENT,0.84,1.058,signal_delivered_strong_follow_through,,worked_or_neutral
research_backtest,intraday_lab,intraday_15012_5bcdee846128,momentum_continuation,EURGBP,off_session,BUY,2026-02-05T23:00:00.000Z,2026-02-05T23:05:00.000Z,2026-02-05T23:25:00.000Z,M15,M5,next_open,next_lower_tf_open,stop_loss_or_trailing_stop,0.87037,0.87157,0.87537,2.35,0.03,0.945,0.3667,-0.0167,0.4333,0.65,-0.0167,0.75,,,BUY,4.4,7.8,true,research_simulated,0.86998,0.87056,0.86992,0.87056,0.8703,0.87031,0.86968,0.00044,0.000507,55.41,0.00058,0.00064,ALLOW_TRADE,GOOD,0.72,0.945,signal_showed_positive_follow_through,,worked_or_neutral
research_backtest,intraday_lab,intraday_15012_5bcdee846128,momentum_continuation,AUDCAD,asian,SELL,2026-02-06T00:00:00.000Z,2026-02-06T00:05:00.000Z,2026-02-06T00:15:00.000Z,M15,M5,next_open,next_lower_tf_open,stop_loss_or_trailing_stop,0.94865,0.94745,0.94365,3.056,0.03,0.8744,-0.3167,-0.4667,0.8917,-1.9917,-2.1,0.8917,,false,SELL,-3.8,-23.9,true,research_simulated,0.94814,0.94821,0.94679,0.94681,0.94846,0.94965,0.95122,0.00086,0.000912,19.76,0.00133,0.00142,ALLOW_TRADE,GOOD,0.72,0.892,signal_showed_positive_follow_through,,worked_or_neutral
research_backtest,intraday_lab,intraday_15012_5bcdee846128,momentum_continuation,AUDJPY,asian,BUY,2026-02-06T00:15:00.000Z,2026-02-06T00:20:00.000Z,2026-02-06T00:30:00.000Z,M15,M5,next_open,next_lower_tf_open,stop_loss_or_trailing_stop,108.264,108.384,108.764,1.947,0.03,0.9853,2.8333,-0.1417,2.8333,4.6333,-0.1417,5.175,true,true,BUY,34,55.6,true,research_simulated,108.147,108.409,108.046,108.36,108.50292,108.74895,109.02999,0.16178,0.001493,31.16,0.213,0.363,ALLOW_TRADE,EXCELLENT,0.84,5.175,signal_delivered_strong_follow_through,,worked_or_neutral
research_backtest,intraday_lab,intraday_15012_5bcdee846128,momentum_continuation,AUDCAD,asian,BUY,2026-02-06T01:30:00.000Z,2026-02-06T01:35:00.000Z,2026-02-06T04:20:00.000Z,M15,M5,next_open,next_lower_tf_open,stop_loss_or_trailing_stop,0.95095,0.95215,0.95595,3.056,0.03,0.8744,-0.4833,-0.65,0.1583,-0.4583,-0.775,0.1583,,,SELL,-5.8,-5.5,true,research_simulated,0.94819,0.9495,0.94803,0.94949,0.94861,0.94915,0.95064,0.00096,0.00101,49.47,0.0013,0.00147,ALLOW_TRADE,GOOD,0.72,0.874,signal_showed_positive_follow_through,,worked_or_neutral
research_backtest,intraday_lab,intraday_15012_5bcdee846128,momentum_continuation,USDCHF,asian,SELL,2026-02-06T04:30:00.000Z,2026-02-06T04:35:00.000Z,2026-02-06T07:00:00.000Z,M15,M5,next_open,next_lower_tf_open,stop_loss_or_trailing_stop,0.77655,0.77755,0.77155,2.46,0.03,-1.266,-0.12,-0.22,0.17,0.22,-0.22,0.38,,,NEUTRAL,-1.2,2.2,true,research_simulated,0.77704,0.77705,0.77649,0.7765,0.77697,0.77715,0.77723,0.00037,0.000471,34.44,0.00054,0.00056,BLOCK_TRADE,BAD,0.82,0.38,trade_never_proved_itself_and_lost_heavily,,entry_failure
research_backtest,intraday_lab,intraday_15012_5bcdee846128,momentum_continuation,AUDJPY,london,SELL,2026-02-06T07:00:00.000Z,2026-02-06T07:05:00.000Z,2026-02-06T07:50:00.000Z,M15,M5,next_open,next_lower_tf_open,stop_loss_or_trailing_stop,109.145,109.245,108.645,1.947,0.03,-1.2147,-0.51,-0.88,0.55,-2.21,-2.4,0.55,,false,SELL,-5.1,-22.1,true,research_simulated,109.107,109.107,108.935,108.943,109.01261,108.90226,108.90256,0.12722,0.001168,53.43,0.164,0.172,NO_OPINION,NEUTRAL,0.55,0.55,outcome_was_mixed_or_too_small_for_confident_filtering,,timing_or_protection_failure
research_backtest,intraday_lab,intraday_15012_5bcdee846128,momentum_continuation,EURCHF,london,BUY,2026-02-06T07:45:00.000Z,2026-02-06T07:50:00.000Z,2026-02-06T11:50:00.000Z,M15,M5,next_open,next_lower_tf_open,time_based_exit,0.91769,0.91669,0.92269,2.406,0.03,-1.0106,0,-0.17,0.37,0.12,-0.22,0.37,,,NEUTRAL,0,1.2,true,research_simulated,0.91628,0.91669,0.91628,0.91668,0.91616,0.91607,0.91612,0.00025,0.000277,66.08,0.0004,0.00041,BLOCK_TRADE,BAD,0.82,0.37,trade_never_proved_itself_and_lost_heavily,,entry_failure
research_backtest,intraday_lab,intraday_15012_5bcdee846128,momentum_continuation,USDCAD,london,SELL,2026-02-06T11:45:00.000Z,2026-02-06T11:50:00.000Z,2026-02-06T12:00:00.000Z,M15,M5,next_open,next_lower_tf_open,stop_loss_or_trailing_stop,1.36729,1.36609,1.36229,2.522,0.03,0.9278,0.9417,-0.075,0.9417,1.325,-0.075,2.2,,true,BUY,11.3,15.9,true,research_simulated,1.36842,1.36842,1.36757,1.36764,1.36826,1.36851,1.36887,0.00059,0.000432,34.82,0.00078,0.00085,ALLOW_TRADE,EXCELLENT,0.84,2.2,signal_delivered_strong_follow_through,,worked_or_neutral
